epoch,accuracy,loss,val_accuracy,val_loss
0,0.7984131,0.5566169319513778,0.8684816,0.4157666726254978
1,0.8705872,0.390988890129696,0.8669478,0.39013486666364905
2,0.8779701,0.3650880341860039,0.88880366,0.35777283761581763
3,0.8842498,0.3440761064373346,0.8868865,0.3427468541026847
4,0.8892566,0.3299241374017265,0.9041411,0.30626221062855485
5,0.8931178,0.31817773233616103,0.88880366,0.3199232663113647
6,0.90079767,0.3037630822648625,0.87845093,0.3402754998325936
7,0.89473015,0.3104042438821815,0.8799847,0.37010374151033126
8,0.8996945,0.2958166525703624,0.8914877,0.3084638395512397
9,0.9053802,0.2872167125822267,0.88266873,0.3363862770832389
10,0.904574,0.2843408336419074,0.8880368,0.33172156757737964
11,0.90618634,0.27430948741526645,0.91449386,0.2698442775961812
12,0.9119569,0.26140723338771743,0.9041411,0.2886472182131252
13,0.9133571,0.25921668381748236,0.89723927,0.3114132209926661
14,0.91815174,0.24265207269324465,0.9148773,0.2713855022987339
15,0.9232858,0.22955013173129676,0.9060583,0.27770238893072297
16,0.9194671,0.23882490262586448,0.9125767,0.2664624836547243
17,0.9219705,0.23153912995164885,0.9210123,0.24369051514273407
18,0.92375255,0.2236073751354088,0.91142637,0.27127144256023905
19,0.9204854,0.2305457999769191,0.90912575,0.2774475607678203
20,0.9220129,0.22661882098093983,0.9190951,0.25206046466904186
21,0.923498,0.22613901052009427,0.91219324,0.26508100646222293
22,0.9248557,0.22225970417660715,0.91564417,0.24880145375896817
23,0.9278683,0.21432297603712144,0.9098926,0.2414501039368426
24,0.9279532,0.21114204146817722,0.9183282,0.24908413682018687
25,0.92892903,0.21070836671202545,0.91947854,0.2387310027779063
26,0.937203,0.19058033993033957,0.92676383,0.24409781848908935
27,0.9300747,0.2067790272982648,0.92062885,0.25229422175582567
28,0.928632,0.2103875768911511,0.90529144,0.27128746934189385
29,0.93300235,0.19510393938111636,0.9202454,0.23588448394935554
